IPA	English	Dutch	German	Spanish	French	Italian	Catalan	Russian	Swedish	Vietnamese	Korean	Greek	Croatian	Japanese	Portuguese	Finnish
ɑː	arm, law	—	—	—	pâte	—	—	—	mat	—	—	—	—	—	—	saari
au	—	—	—	auto	—	pausa	—	—	—	cao	—	—	—	—	—	—
aʊ	now	—	auf	—	—	—	pau	—	—	—	—	—	—	—	—	—
u	do	hoed	kulant	tú	goût	museo	suc	муж	—	thu	—	μου	—	—	tu	tuli
uː	fool	—	Kuh	—	rouge	musica	—	—	bot	—	—	—	—	—	—	uuni
ʊ	put	—	Mutter	—	trousse	—	—	мужчина	bott	trung	—	—	—	—	—	—
o	—	zo, oor	Motiv	yo	beau	uomo	dóna, gos	вошь	—	cô	—	πάνω	—	ぼたん	todo	koti
oː	law	—	Boot	—	jaune	dove	—	—	mål	—	—	—	—	ぼうりょく	—	moottori
ɔ	—	zot	trocknen	—	botte	otto	dona, roc	—	moll	có	—	—	—	—	mola	—
ɔː	saw, sore, caught	—	—	—	or	uomo	—	—	—	—	—	—	—	—	—	—
əʊ	go	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
oʊ	go	—	—	—	jaune	—	pou	—	—	—	—	—	—	—	—	—
ɔʊ	—	—	—	—	—	—	bou	—	—	—	—	—	—	—	—	—
ɔɪ	coil, boiler	boiler	Eule	—	—	—	noi	—	—	—	—	—	—	—	—	—
oɪ	—	—	—	doy	—	—	coi	—	—	—	—	—	—	—	—	—
ɪə	here	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
ɒ	not, cough	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
ɑ̃	—	—	—	—	an, en	—	—	—	—	—	—	—	—	—	—	—
ɛ̃	—	—	Teint	—	vin	—	—	—	—	—	—	—	—	—	—	—
ɔ̃	—	—	—	—	on	—	—	—	—	—	—	—	—	—	—	—
œ̃	—	—	—	—	un	—	—	—	—	—	—	—	—	—	—	—
ĩ	—	—	—	—	—	—	—	—	—	—	—	—	—	—	sinto	—
ẽ	—	—	—	—	vin	—	—	—	—	—	—	—	—	—	sento	—
ɐ̃	—	—	—	—	—	—	—	—	—	—	—	—	—	—	santo	—
ũ	—	—	—	—	—	—	—	—	—	—	—	—	—	—	dum	—
õ	—	—	Champignon	—	son	—	—	—	—	—	—	—	—	—	dom	—
ã	—	—	Champignon	—	maman	—	—	—	—	—	—	—	—	—	—	—
